Entity,Code,Year,Electricity from solar (TWh)
World,OWID_WRL,1985,0.011747475
World,OWID_WRL,1986,0.015183838
World,OWID_WRL,1987,0.01060303
World,OWID_WRL,1988,0.01019596
World,OWID_WRL,1989,0.262223232
World,OWID_WRL,1990,0.388294949
World,OWID_WRL,1991,0.505202873
World,OWID_WRL,1992,0.468585109
World,OWID_WRL,1993,0.556697524
World,OWID_WRL,1994,0.600013925
World,OWID_WRL,1995,0.640813779
World,OWID_WRL,1996,0.705207972
World,OWID_WRL,1997,0.756584792
World,OWID_WRL,1998,0.831788965
World,OWID_WRL,1999,0.916196899
World,OWID_WRL,2000,1.06887
World,OWID_WRL,2001,1.340527
World,OWID_WRL,2002,1.715415
World,OWID_WRL,2003,2.09643137
World,OWID_WRL,2004,2.770793
World,OWID_WRL,2005,3.84363734
World,OWID_WRL,2006,5.170781
World,OWID_WRL,2007,7.00494
World,OWID_WRL,2008,11.43225579
World,OWID_WRL,2009,19.41498039
World,OWID_WRL,2010,30.51826358
World,OWID_WRL,2011,60.01001965
World,OWID_WRL,2012,95.72498624
World,OWID_WRL,2013,132.2931384
World,OWID_WRL,2014,197.0101146
World,OWID_WRL,2015,254.6677089
World,OWID_WRL,2016,329.5642468
World,OWID_WRL,2017,443.3147567
World,OWID_WRL,2018,572.9078917
World,OWID_WRL,2019,704.0236922
World,OWID_WRL,2020,844.3859509
